POS_ID;CITY;dl_address;COS_ID
BOOFFICE;jakarta;bo.invoice@ext.homecredit.co.id;d48562a1-39f7-4443-a4f6-3eaad0588720
BOOPER;jakarta;bo.operator@ext.homecredit.co.id;d48562a1-39f7-4443-a4f6-3eaad0588720
CALLSERV;jakarta;callservice@ext.homecredit.co.id;d48562a1-39f7-4443-a4f6-3eaad0588720
CRMOPR;jakarta;crm.operator@ext.homecredit.co.id;6138e306-4fc8-436e-9d13-be5f1bf3375a
CRSOPRPT;jakarta;deskcrs.pt@ext.homecredit.co.id;6138e306-4fc8-436e-9d13-be5f1bf3375a
CRSOPR;jakarta;deskcrs@ext.homecredit.co.id;021b784d-239d-4cd3-8140-930559b9b244
DSM;ambon;dsm.ambon@ext.homecredit.co.id;3ee22f55-b213-4f60-afb3-bbba8897ee62
DSM;balikpapan;dsm.balikpapan@ext.homecredit.co.id;3ee22f55-b213-4f60-afb3-bbba8897ee62
DSM;bandung;dsm.bandung@ext.homecredit.co.id;3ee22f55-b213-4f60-afb3-bbba8897ee62
DSM;banjarmasin;dsm.banjarmasin@ext.homecredit.co.id;3ee22f55-b213-4f60-afb3-bbba8897ee62
DSM;batam;dsm.batam@ext.homecredit.co.id;3ee22f55-b213-4f60-afb3-bbba8897ee62
DSM;bengkulu;dsm.bengkulu@ext.homecredit.co.id;3ee22f55-b213-4f60-afb3-bbba8897ee62
DSM;bogor;dsm.bogor@ext.homecredit.co.id;3ee22f55-b213-4f60-afb3-bbba8897ee62
DSM;cirebon;dsm.cirebon@ext.homecredit.co.id;3ee22f55-b213-4f60-afb3-bbba8897ee62
DSM;denpasar;dsm.denpasar@ext.homecredit.co.id;3ee22f55-b213-4f60-afb3-bbba8897ee62
DSM;gorontalo;dsm.gorontalo@ext.homecredit.co.id;3ee22f55-b213-4f60-afb3-bbba8897ee62
DSM;jakarta;dsm.jakarta@ext.homecredit.co.id;3ee22f55-b213-4f60-afb3-bbba8897ee62
DSM;jambi;dsm.jambi@ext.homecredit.co.id;3ee22f55-b213-4f60-afb3-bbba8897ee62
DSM;kediri;dsm.kediri@ext.homecredit.co.id;3ee22f55-b213-4f60-afb3-bbba8897ee62
DSM;kendari;dsm.kendari@ext.homecredit.co.id;3ee22f55-b213-4f60-afb3-bbba8897ee62
DSM;kupang;dsm.kupang@ext.homecredit.co.id;3ee22f55-b213-4f60-afb3-bbba8897ee62
